2006年11月9号 2006年11月9日
乐闪西挪 东闪西挪
乐零西散 东零西散
乐面忘返 乐而忘返
乐风压倒西风 东风压倒西风
乐风射马耳 东风射马耳
乐风浩荡 东风浩荡
乐飘西荡 东飘西荡
乐食西宿 东食西宿
乐驰西骛 东驰西骛
乐鳞西爪 东鳞西爪
乒乓球选乎 乒乓球选手
乓乓乓乓 乒乒乓乓
乔摸乔样 乔模乔样
乔棱 翘棱
乔治.华盛顿 乔治·华盛顿
乔治·所罗斯 乔治·索罗斯
乔治·科林顿 乔治·克林顿
乔治亚大学 佐治亚大学
乔治亚州 佐治亚州
乔洽 乔治
乖刺 乖剌
乖自己自作多情 怪自己自作多情
乗客 乘客
乘一叶片舟 乘一叶扁舟
乘亼之危 乘人之危
乘八之危 乘人之危
乘公共汔车 乘公共汽车
乘兴而夹 乘兴而来
乘兴而来，败兴面归 乘兴而来，败兴而归
乘兴面来 乘兴而来
乘其木备 乘其不备
乘凤归去 乘风归去
乘勇追穷寇 剩勇追穷寇
乘夜袭占了 趁夜袭占了
乘巧可爱 乖巧可爱
乘座 乘坐
乘座火车 乘坐火车
乘早 趁早
乘早扔到河里 趁早扔到河里
乘机而入 乘虚而入
乘机面入 乘机而入
乘机飞往三亜 乘机飞往三亚
乘波逐浪 趁波逐浪
乘热劲 趁热劲
乘热吃 趁热吃
乘热打铁 趁热打铁
乘着大好的机遇 趁着大好的机遇
乘着家人 趁着家人
乘胜遂北 乘胜逐北
乘虚面入 乘虚而入
乘醉听萧鼓 乘醉听箫鼓
乘问伺隙 乘间伺隙
乘间头隙 乘间伺隙
乘风波浪 乘风破浪
乘鸾跨风 乘鸾跨凤
乘龙快婚 乘龙快婿
乙菜盆 洗菜盆
乜乜苶苶 乜乜斜斜
九~十 九至十
九万无钱 九万元钱
九世之仇 丸世之仇
九个月半 九个半月
九个歌 九首歌
九份之一 九分之一
九份之七 九分之七
九份之二 九分之二
九份之五 九分之五
九份之八 九分之八
九份之四 九分之四
九兲揽月 九天揽月
九十万无钱 九十万元钱
九十上下岁 九十岁上下
九十儿 九十几
九十凡 九十几
九十春光 丸十春光
九千元美全 九千元美金
九合一筐 九合一匡
九天揽冃 九天揽月
九宵云外 九霄云外
九小时候 九小时后
九层之台，起于累圡 九层之台，起于累土
九层之台，起于累士 九层之台，起于累土
九干元钱 九千元钱
九截鞭 九节鞭
九搂 九楼
九无揽月 九天揽月
九春亖秋 九春三秋
九朽一罢 丸朽一罢
九死丕渝 九死不渝
九死木悔 九死不悔
九死木渝 九死不渝
九泉圥恨 九泉无恨
九泉天恨 九泉无恨
九泉尢恨 九泉无恨
九洲同庆 九州同庆
九洲大地 九州大地
九洲方圆 九州方圆
九流十冢 九流十家
九流百冢 九流百家
九点多种 九点多钟
九点种 九点钟
九点过钟 九点多钟
九玖歌 九九歌
九疑山 九嶷山
九登十涉 九登十陟
九百万无钱 九百万元钱
九秋亖夏 九秋三夏
九等十涉 九登十陟
九等十陟 九登十陟
九经亖史 九经三史
九该八表 九垓八表
九霄云处 九霄云外
九龙尖沙嘴 九龙尖沙咀
九龙市 九龙县
九龙璧 九龙壁
乞写疲乏地动了动 乞丐疲乏地动了动
乞几马医 乞儿马医
乞帮 丐帮
乞来问询 亟来问询
乞盼明天 祈盼明天
乞福 祈福
乞立马扎罗山 乞力马扎罗山
乞衰告怜 乞哀告怜
乞里马扎罗 乞力马扎罗
也下一定 也不一定
也下会 也不会
也下是 也不是
也下曾 也不曾
也不今人 也不尽人
也不会头 也不回头
也不行阿 也不行啊
也不起来让坐 也不起来让座
也不防 也不妨
也也斜斜 乜乜斜斜
也井非完全 也并非完全
也些渴 有些渴
也众不同 与众不同
也何妨 又何妨
也倒是一件阴隲事 也倒是一件阴骘事
也冲了到大雨中 也冲到了大雨中
也决没有 也绝没有
也冼亮了弯刀 也洗亮了弯刀
也前移到新疆驻守 也迁移到新疆驻守
也原意 也愿意
也反应了 也反映了
也可以是话唠 也可以是话痨
也和普通木料不一样 也和普通木材不一样
也困为这种信任感 也因为这种信任感
也在社交网站上圈了一大波儿粉 也在社交网站上圈了一大拨儿粉
也坚执 也坚持
也大高了 也太高了
也存人 也有人
也宜于 也易于
也宣欢 也喜欢
也就几年的功夫 也就几年的工夫
也就是说这金蟳醉的越厉害 也就是说这金蟳醉得越厉害
也想丐了 也想起了
也所不同 有所不同
也指整天吃喝玩乐，到处胡做非为的人 也指整天吃喝玩乐，到处胡作非为的人
也无法侦查到里面的情况 也无法侦察到里面的情况
也是一咱 也是一种
也是宜春学院的一批黑马 也是宜春学院的一匹黑马
也是思想文化的一个聚居地 也是思想文化的一个聚集地
也是这祥 也是这样
也有定规 也有规定
也有迁变 也有变迁
也木会 也不会
也末打招呼 也未打招呼
也末曾尝过 也未曾尝过
也止能 也只能
也比较难做的这么标准 也比较难做得这么标准
也渐惭 也渐渐
也焦燥了 也焦躁了
也界上 世界上
也相等于 也相当于
也知道它采的非常地艰难 也知道它采得非常地艰难
也祈盼着 也企盼着
也终算 也总算
也能浸入小莉喜爱的 也能进入小莉喜爱的
也能轻易割下柏树高处的枝桠 也能轻易割下柏树高处的枝丫
也被带上了镣铐 也被戴上了镣铐
也裁了几株大樱桃 也栽了几株大樱桃
也要趟出一条蜿蜒的 也要蹚出一条蜿蜒的
也許是 也许是
也计只有 也许只有
也计只有你 也许只有你
也计正因为 也许正因为
也许有缘无份 也许有缘无分
也象“火种”一样 也像“火种”一样
也迫不及待的要去试试 也迫不及待地要去试试
也釆取了相同 也采取了相同
也重新做了一些修复 也从新做了一些修复
习习生辉 熠熠生辉
习以为然 习以为常
习以性成 习与性成
习俗宜人 习俗移人
习字薄 习字簿
习屏近 习近平
习己为常 习以为常
习平仅 习近平
习平近 习近平
习平进 习近平
习平金 习近平
习惯也交待了 习惯也交代了
习浴 习俗
习焉不查 习焉不察
习焉木察 习焉不察
习瓶近 习近平
习甪 习用
习经为常 习以为常
习非甚是 习非胜是
习韭成俗 习非成俗
乡丼 乡井
乡亲们手中的粑粑槌 乡亲们手中的粑粑锤
乡味薰昏众胡仙 乡味熏昏众胡仙
乡土情节 乡土情结
乡圡气息 乡土气息
乡坤 乡绅
乡巴老 乡巴佬
乡愁的那副画 乡愁的那幅画
乡曲之誊 乡曲之誉
乡音大重 乡音太重
乡音无改鬓发衰 乡音无改鬓毛衰
乡音无改鬓毛催 乡音无改鬓毛衰
乡风慕乂 乡风慕义
乡马佬 乡巴佬
书一幅狅草 书一幅狂草
书中自有千种栗 书中自有千钟粟
书中自有千种粟 书中自有千钟粟
书中自有千钟栗 书中自有千钟粟
书中自有颜如王 书中自有颜如玉
书为心话 书为心画
书僮 书童
书写一阙温婉岁月 书写一阕温婉岁月
书写了草 书写潦草
书写着他对家人淳朴的爱意 书写着他对家人纯朴的爱意
书包揹带 书包背带
书卷三纸，未见驴字 书券三纸，未见驴字
书厨 书橱
书呆予 书呆子
书声琅朗 书声琅琅
书憧 书童
书房低矮的顶蓬 书房低矮的顶棚
书木尽意 书不尽意
书柬 书简
书槁 书稿
书生义气 书生意气
书生之贝 书生之见
书瘾 书淫
书读万券 书读万卷
书远莫多误 书远摹多误
书通二由 书通二酉
书通二西 书通二酉
书里面给的特别清楚 书里面给得特别清楚
书难 书摊
书面和首叶 书面和首页
书面认足 书面认定
书香冂第 书香门第
书香闩第 书香门第
书鹿 书簏
书麓 书簏
买不出 卖不出
买东四 买东西
买个好价钱 卖个好价钱
买了个关子 卖了个关子
买了出去 卖了出去
买了日本骄货车 买了日本轿货车
买人那些 买入那些
买俏争宠 卖俏争宠
买俏门庭 卖俏门庭
买儿本书 买几本书
买入讯号 买入信号
买关子 卖关子
买出去 卖出去
买卖不成仁义茬 买卖不成仁义在
买卖木成仁义在 买卖不成仁义在
买只兔孑 买只兔子
买台小轿车 买辆小轿车
买嘴料舌 卖嘴料舌
买场 卖场
买妻鬻子 卖妻鬻子
买官子 卖关子
买就买有品味的东西 买就买有品位的东西
买峰窝煤 买蜂窝煤
买弄风情 卖弄风情
买弄风骚 卖弄风骚
买当劳 麦当劳
买快豆腐 买块豆腐
买掉 卖掉
买支花 买枝花
买牍还珠 买椟还珠
买犊买刀 卖犊买刀
买猪蹄膀 买猪蹄髈
买笑求食 卖笑求食
买赎还珠 买椟还珠
买身投靠 卖身投靠
买验室 实验室
乱七八槽 乱七八糟
乱七八遭 乱七八糟
乱世袅雄 乱世枭雄
乱了阵角 乱了阵脚
乱做一团 乱作一团
乱八七遭 乱七八糟
乱六八糟 乱七八糟
乱制滥造 粗制滥造
乱午 乱舞
乱嘈糟 乱糟糟
乱套子 滥套子
乱想胡思 胡思乱想
乱模 乱摸
乱烘 乱哄
乱琼碎玊 乱琼碎玉
乱用职权 滥用职权
乱石磷峋 乱石嶙峋
乱砍乱伐 滥砍滥伐
乱砍乱伐 乱砍滥伐
乱竽充数 滥竽充数
乱篷篷 乱蓬蓬
乱臣贼了 乱臣贼子
乱臣贼予 乱臣贼子
乱臣贼孑 乱臣贼子
乱臣贼孒 乱臣贼子
乱臣贼孓 乱臣贼子
乱芋充数 滥竽充数
乱草从生 乱草丛生
乱要性子 乱耍性子
乱起了大风 刮起了大风
乱起萧墙 祸起萧墙
乱蹿 乱窜
乱轮 乱伦
乱轰轰 乱哄哄
乱逢逢 乱蓬蓬
乱遭遭 乱糟糟
乱鱼充数 滥竽充数
乳哺类 哺乳类
乳嗅小子 乳臭小子
乳武有力 孔武有力
乳气 乳泣
乳炎 乳岩
乳犊不怕虎 牛犊不怕虎
乳臭小予 乳臭小子
乳臭小孑 乳臭小子
乳臭小孒 乳臭小子
乳臭小孓 乳臭小子
乳臭未子 乳臭未干
乳臭末干 乳臭未干
乾坤冉造 乾坤再造
乾挂 乾卦
乾清官 乾清宫
乾清殿 乾清宫
乾降 乾隆
乾隆60年 乾隆六十年
乾隆8年 乾隆八年
了不语怪 子不语怪
了丑寅卯 子丑寅卯
了了几句 寥寥几句
了了孙孙 子子孙孙
了了数语 寥寥数语
了了无几 寥寥无几
了勿起 了不起
了午卯酉 子午卯酉
了圥所闻 了无所闻
了圥牵挂 了无牵挂
了圥痕迹 了无痕迹
了圥边际 了无边际
了女玉帛 子女玉帛
了孙万代 子孙万代
了孙后代 子孙后代
了尢所闻 了无所闻
了尢牵挂 了无牵挂
了尢痕迹 了无痕迹
了尢边际 了无边际
了所学校 各所学校
了无遗撼 了无遗憾
了曰诗云 子曰诗云
了望台 瞭望台
了望哨 瞭望哨
了望塔 瞭望塔
了然一身 孑然一身
了然在且 了然在目
了然茬目 了然在目
了熟于心 了然于心
了看见黄河 看见了黄河
了知指掌 了如指掌
了确一桩心事 了却一桩心事
了程师 工程师
了胜于无 聊胜于无
了若星辰 廖若星辰
了若观火 燎若观火
了虚乌有 子虚乌有
了解大深 了解太深
予不语怪 子不语怪
予丑寅卯 子丑寅卯
予人囗实 予人口实
予午卯酉 子午卯酉
予女玉帛 子女玉帛
予子孙孙 子子孙孙
予孙万代 子孙万代
予曰诗云 子曰诗云
予盾 矛盾
予虚乌有 子虚乌有
争不可待 急不可待
争不开眼 睁不开眼
争个不体 争个不休
争争日上 蒸蒸日上
争值良久 争执良久
争光添彩 增光添彩
争冈吃醋 争风吃醋
争奇斗妍 争奇斗艳
争峰 争锋
争开眼睛 睁开眼睛
争强了自信心 增强了自信心
争强奸胜 争强好胜
争扎 挣扎
争抗 抗争
争气弾 争气弹
争相恐后 争先恐后
争研 争妍
争竞 竞争
争竟 竞争
争脱开 挣脱开
争足了面子 挣足了面子
争钱不容易 挣钱不容易
争锋相对 针锋相对
争龋 争取
亊不关己 事不关己
亊不宜迟 事不宜迟
亊不有余 事不有余
亊不过三 事不过三
亊倍功半 事倍功半
亊关重大 事关重大
亊出意外 事出意外
亊出有因 事出有因
亊到临头 事到临头
亊半功倍 事半功倍
亊后聪明 事后聪明
亊后诸葛亮 事后诸葛亮
亊大体重 事大体重
亊必躬亲 事必躬亲
亊过境迁 事过境迁
事不关已 事不关己
事不冇余 事不有余
事不过亖 事不过三
事与愿为 事与愿违
事与愿讳 事与愿违
事与违愿 事与愿违
事丕有余 事不有余
事事可可 是事可可
事事洞明 世事洞明
事事洞明皆学问 世事洞明皆学问
事事通明皆学问 世事洞明皆学问
事事难料 世事难料
事以愿违 事与愿违
事以至此 事已至此
事体没做 事情没做
事像 事象
事出冇因 事出有因
事到期间 事到其间
事势上 事实上
事合形离 势合形离
事和形离 势合形离
事圥巨细 事无巨细
事在必然 势在必行
事在必行 势在必行
事大休重 事大体重
事奉他 侍奉他
事奉父母 侍奉父母
事实具在 事实俱在
事实求是 实事求是
事实真像 事实真相
事实胜于雄辨 事实胜于雄辩
事尢巨细 事无巨细
事得其反 适得其反
事必恭亲 事必躬亲
事必要把 势必要把
事情原于 事情源于
事情败漏 事情败露
事情阿 事情啊
事所当然 理所当然
事无叵细 事无巨细
事无臣细 事无巨细
事有奚跷 事有蹊跷
事有必致，理有固然 事有必至，理有固然
事有终始 时有终始
事有跷蹊 事有蹊跷
事有蹊翘 事有蹊跷
事木关己 事不关己
事木宜迟 事不宜迟
事木有余 事不有余
事木过三 事不过三
事死如生 视死如生
事浮于人 食浮于人
事物性工作 事务性工作
事物所里 事务所里
事物部 事物都
事甴 事由
事等我女朋友的 是等我女朋友的
事茬人为 事在人为
事茬必行 事在必行
事董长 董事长
事起肖墙 事起萧墙
事过情迁 事过境迁
事过景迁 事过境迁
事都抖落 事都抖搂
事非多 是非多
二0一七年 二〇一七年
二0一七年七月五日 二〇一七年七月五日
二0一七年九月 二〇一七年九月
二0一七年九月十五日 二〇一七年九月十五日
二0一七年八月十八日 二〇一七年八月十八日
二0一七年八月四日 二〇一七年八月四日
二0二一年春 二〇二一年春
二OO三年 二〇〇三年
二~三 二至三
二一0年 二一〇年
二万七干 两万七千
二丈和尚 丈二和尚
二丈和尚摸不着头脑 丈二和尚摸不着头脑
二乎烟 二手烟
二五偶 二五耦
二亖其德 二三其德
二人传 二人转
二人同心，其利断全 二人同心，其利断金
二亼同心，其利断金 二人同心，其利断金
二份之一 二分之一
二入佳人 二八佳人
二八佳亼 二八佳人
二八同心，其利断金 二人同心，其利断金
二八隹人 二八佳人
二分明冃 二分明月
二十万无钱 二十万元钱
二十上下岁 二十岁上下
二十世界 二十世纪
二十儿分钟 二十几分钟
二十凡 二十几
二十出头岁 二十岁出头
二十哩 二十里
二十多年一直在他家吃的烧烤 二十多年一直在她家吃的烧烤
二十英哩 二十英里
二十西小时 二十四小时
二十馀年 二十余年
二姓之奸 二姓之好
二姨在再给你盛” 二姨再给你盛。”
二姨病世 二姨病逝
二尖瓣闭锁不全 二尖瓣关闭不全
二帝亖王 二帝三王
二年纪 二年级
二年进行一次 两年进行一次
二恶英 二噁英
二搂靠湖 二楼靠湖
二月初头 二月出头
二桃杀亖士 二桃杀三士
二楞小子 二愣小子
二泉印月 二泉映月
二流予 二流子
二点多种 二点多钟
二簧 二黄
二线篮筹 二线蓝筹
二缶钟感 二缶钟惑
二老在遥远的夭国 二老在遥远的天国
二虎相斗，必冇一伤 二虎相斗，必有一伤
二话木说 二话不说
二说没说 二话没说
二边说 一边说
二进数 二进制
二郎脚 二郎腿
二零一三年左右 二〇一三年左右
二零一零年 二〇一〇年
二零五龄年 二零五零年
二零零一年 二〇〇一年
二零零三年 二〇〇三年
二零零九年八月 二〇〇九年八月
二零零二年 二〇〇二年
二零零五年 二〇〇五年
二零零六年 二〇〇六年
二零零四年 二〇〇四年
二面三刀 两面三刀
于不下去 干不下去
于世无补 于事无补
于了不少坏事 干了不少坏事
于些什么 干些什么
于佑任 于右任
于净利落 干净利落
于出一番事业 干出一番事业
于出事业 干出事业
于出这种 干出这种
于北宋元佑 于北宋元祐
于卿何事 干卿何事
于名犯义 干名犯义
于名要利 干名要利
于吗还要 干吗还要
于咳一声 干咳一声
于城之将 干城之将
于好干坏 干好干坏
于完活儿 干完活儿
于已不利 于己不利
于已有用 于己有用
于干净净 干干净净
于心丕安 于心不安
于心冇愧 于心有愧
于心圥愧 于心无愧
于心天愧 于心无愧
于心尢愧 于心无愧
于心木安 于心不安
于心木忍 于心不忍
于戈化玉帛 干戈化玉帛
于戈戚扬 干戈戚扬
于戈满目 干戈满目
于戈载戢 干戈载戢
于我屁事 干我屁事
于斯人也 于是人也
于是忽 于是乎
于柴烈火 干柴烈火
于此同时 与此同时
于此相关 与此相关
于然一身 孑然一身
于起活来 干起活来
于过什么事 干过什么事
于过摄影 干过摄影
于这一行 干这一行
于这号傻事 干这号傻事
于这干那 干这干那
于锤百炼 千锤百炼
于青拖紫 纡青拖紫
亏对于 愧对于
云中犬守 云中太守
云云众生 芸芸众生
云兩绸缪 云雨绸缪
云在意与迟 云在意俱迟
云岗石窟 云冈石窟
云朵悠然自在地漂浮着 云朵悠然自在地飘浮着
云泥导路 云泥异路
云涌蜂起 云涌风起
云淡风清 云淡风轻
云游四万 云游四方
云程方里 云程万里
云翻兩覆 云翻雨覆
云蔼 云霭
云行兩施 云行雨施
云豆 芸豆
云雾伸出 云雾深处
云飞兩散 云飞雨散
云龙凤虎 云龙风虎
互不相于 互不相干
互助帮助 互相帮助
互古以来 亘古以来
互相倾述 互相倾诉
互相容隐 互相容忍
互相扭抱 互相拥抱
互相推委 互相推诿
互相职责 互相指责
互补干扰 互不干扰
互许终生 互许终身
互通冇无 互通有无
互通有圥 互通有无
互通有天 互通有无
亓中视星 井中视星
亓亓有条 井井有条
亓亓有法 井井有法
亓以甘竭 井以甘竭
亓倒车 开倒车
亓刃儿 开刃儿
亓卷有益 开卷有益
亓口呼 开口呼
亓口子 开口子
亓口见心 开口见心
亓口闭口 开口闭口
亓口饭 开口饭
亓台锣鼓 开台锣鼓
亓司米 开司米
亓国元勋 开国元勋
亓场白 开场白
亓基创业 开基创业
亓夜车 开夜车
亓宗明义 开宗明义
亓小差 开小差
亓山祖师 开山祖师
亓底之蛙 井底之蛙
亓底银瓶 井底银瓶
亓弓没有回头箭 开弓没有回头箭
亓心丸 开心丸
亓心果 开心果
亓心见诚 开心见诚
亓快车 开快车
亓怀大笑 开怀大笑
亓怀畅饮 开怀畅饮
亓斋节 开斋节
亓气儿 开气儿
亓洋荤 开洋荤
亓渫不食 井渫不食
亓源节流 开源节流
亓然有序 井然有序
亓物成务 开物成务
亓玩笑 开玩笑
亓瓢儿 开瓢儿
亓疆展土 开疆展土
亓眉展眼 开眉展眼
亓绿灯 开绿灯
亓花结果 开花结果
亓蛙之见 井蛙之见
亓裆裤 开裆裤
亓诚布公 开诚布公
亓诚相见 开诚相见
亓路先锋 开路先锋
亓释左右 开释左右
亓门揖盗 开门揖盗
亓门红 开门红
亓门见山 开门见山
五~六 五至六
五万无钱 五万元钱
五个月半 五个半月
五丫果 五桠果
五中会会精神 五中全会精神
五了登科 五子登科
五予登科 五子登科
五份之一 五分之一
五份之三 五分之三
五份之二 五分之二
五份之四 五分之四
五体头地 五体投地
五冬六戛 五冬六夏
五分多种 五分多钟
五分种 五分钟
五分锺 五分钟
五十万无钱 五十万元钱
五十上下岁 五十岁上下
五十儿分钟 五十几分钟
五十凡 五十几
五千元美全 五千元美金
五味朵陈 五味杂陈
五咫童子 五尺童子
五哀铭感 五衷铭感
五哩路 五里路
五囗人 五口人
五垦级 五星级
五大亖粗 五大三粗
五大憨粗 五大三粗
五太三粗 五大三粗
五孑登科 五子登科
五孒登科 五子登科
五孓登科 五子登科
五宫端正 五官端正
五小时候 五小时后
五尺童予 五尺童子
五尺童孑 五尺童子
五尺童孒 五尺童子
五尺童孓 五尺童子
五州惨案 五卅惨案
五帝三黄 五帝三皇
五干元钱 五千元钱
五年级生六年级 五年级升六年级
五年纪 五年级
五形八卦掌 五行八卦掌
五彩斑澜 五彩斑斓
五彩斑烂 五彩斑斓
五彩续纷 五彩缤纷
五快钱 五块钱
五急六兽 五脊六兽
五急六受 五脊六兽
五慌六月 五黄六月
五方杂外 五方杂处
五星极 五星级
五星联珠 五星连珠
五昧俱全 五味俱全
五灯奖 五等奖
五点正 五点整
五痨七伤 五劳七伤
五百万无钱 五百万元钱
五百米出 五百米处
五秒中内 五秒钟内
五经半夜 三更半夜
五脊六受 五脊六兽
五脏七窃 五脏七窍
五脏六俯 五脏六腑
五脏六肺 五脏六腑
五脏六腹 五脏六腑
五脏具全 五脏俱全
五脏如焚 五内如焚
五腑六脏 五脏六腑
五色具全 五色俱全
五色圥主 五色无主
五色尢主 五色无主
五色斑澜 五色斑斓
五色无王 五色无主
五色烂斑 五色斑斓
五花人门 五花八门
五花八冂 五花八门
五花八闩 五花八门
五花大梆 五花大绑
五花太绑 五花大绑
五荒六冃 五荒六月
五荤亖厌 五荤三厌
五藏六府 五脏六腑
五行八做 五行八作
五行酒店 五星酒店
五谷丰登消灾祛病 五谷丰登消灾去病
五谷朵粮 五谷杂粮
五象新区管委员副主任 五象新区管委会副主任
五迷亖道 五迷三道
五采缤纷 五彩缤纷
五陵年小 五陵年少
五陵年尐 五陵年少
五陵豪责 五陵豪贵
五雷轰鼎 五雷轰顶
五音木全 五音不全
五颗大酸菜 五棵大酸菜
五颗手指 五根手指
五风十兩 五风十雨
五黄六冃 五黄六月
井不简单 并不简单
井丼有条 井井有条
井丼有法 井井有法
井云见日 开云见日
井井冇条 井井有条
井井冇法 井井有法
井井有序 井井有条
井以廿竭 井以甘竭
井低之蛙 井底之蛙
井力坚守 并力坚守
井卷有益 开卷有益
井发肺炎 并发肺炎
井口见心 开口见心
井口闭口 开口闭口
井台锣鼓 开台锣鼓
井国元勋 开国元勋
井基创业 开基创业
井宗明义 开宗明义
井小心使用 并小心使用
井山祖师 开山祖师
井岗山 井冈山
井并有条 井井有条
井并有法 井井有法
井底虾蟆 井底蛤蟆
井心见诚 开心见诚
井怀大笑 开怀大笑
井怀畅饮 开怀畅饮
井拢翅膀 并拢翅膀
井无什么 并无什么
井无伤损 并无伤损
井未到场 并未到场
井柙出虎 开柙出虎
井案侦查 并案侦查
井水木犯河水 井水不犯河水
井氺不犯河水 井水不犯河水
井氺不犯河氺 井水不犯河水
井没有失去 并没有失去
井渫木食 井渫不食
井源节流 开源节流
井然冇序 井然有序
井然宥序 井然有序
井物成务 开物成务
井用鲜花打扮 并用鲜花打扮
井疆展土 开疆展土
井眉展眼 开眉展眼
井碟不食 井渫不食
井线行驶 并线行驶
井网发电 并网发电
井网运行 并网运行
井肩战斗 并肩战斗
井花结果 开花结果
井蛙之贝 井蛙之见
井行不悖 并行不悖
井诚布公 开诚布公
井诚相见 开诚相见
井路先锋 开路先锋
井释左右 开释左右
井门揖盗 开门揖盗
井门见山 开门见山
井非专政 并非专政
井非易事 并非易事
井非由于 并非由于
井驾齐驱 并驾齐驱
亖K党 三K党
亖下五除二 三下五除二
亖不拗六 三不拗六
亖严亖实 三严三实
亖个臭皮匠，赛过诸葛亮 三个臭皮匠，赛过诸葛亮
亖五成群 三五成群
亖亖两两 三三两两
亖亲六故 三亲六故
亖亲六眷 三亲六眷
亖人为众 三人为众
亖人成虎 三人成虎
亖从四德 三从四德
亖令五申 三令五申
亖位一体 三位一体
亖八妇女节 三八妇女节
亖六九等 三六九等
亖农 三农
亖分鼎足 三分鼎足
亖十六计，走为上计 三十六计，走为上计
亖十年河东，亖十年河西 三十年河东，三十年河西
亖十而立 三十而立
亖叉神经 三叉神经
亖只手 三只手
亖叶虫 三叶虫
亖合土 三合土
亖合板 三合板
亖合院 三合院
亖围 三围
亖国演义 三国演义
亖坟五典 三坟五典
亖大差别 三大差别
亖天两头 三天两头
亖天两头儿 三天两头儿
亖天打鱼，两天晒网 三天打鱼，两天晒网
亖头六臂 三头六臂
亖头对案 三头对案
亖好两歹 三好两歹
亖妻四妾 三妻四妾
亖姑六婆 三姑六婆
亖媒六证 三媒六证
亖宫六院 三宫六院
亖寸不烂之舌 三寸不烂之舌
亖山五岳 三山五岳
亖岔路口 三岔路口
亖平二满 三平二满
亖年五载 三年五载
亖座大山 三座大山
亖心二意 三心二意
亖思而行 三思而行
亖户亡秦 三户亡秦
亖拇指 三拇指
亖拳两脚 三拳两脚
亖推六问 三推六问
亖教九流 三教九流
亖文鱼 三文鱼
亖日新妇 三日新妇
亖明治 三明治
亖星堆遗址 三星堆遗址
亖曹对案 三曹对案
亖朋四友 三朋四友
亖朝两日 三朝两日
亖朝元老 三朝元老
亖杯和万事 三杯和万事
亖槐九棘 三槐九棘
亖段论 三段论
亖民主义 三民主义
亖沐亖熏 三沐三熏
亖灾八难 三灾八难
亖班六房 三班六房
亖瓦两舍 三瓦两舍
亖生有幸 三生有幸
亖生有缘 三生有缘
亖番五次 三番五次
亖番四复 三番四复
亖百六十行 三百六十行
亖皇五帝 三皇五帝
亖省吾身 三省吾身
亖级跳远 三级跳远
亖纲五常 三纲五常
亖纸无驴 三纸无驴
亖维动画 三维动画
亖维打印 三维打印
亖维空间 三维空间
亖缄其口 三缄其口
亖联单 三联单
亖脚两步 三脚两步
亖脚架 三脚架
亖脚猫 三脚猫
亖般两样 三般两样
亖色堇 三色堇
亖花脸 三花脸
亖茶六礼 三茶六礼
亖茶六饭 三茶六饭
亖角债 三角债
亖角函数 三角函数
亖角学 三角学
亖角形 三角形
亖角恋爱 三角恋爱
亖角洲 三角洲
亖角铁 三角铁
亖言两语 三言两语
亖豕渡河 三豕渡河
亖贞九烈 三贞九烈
亖资企业 三资企业
亖足鼎立 三足鼎立
亖跪九叩 三跪九叩
亖轮车 三轮车
亖长两短 三长两短
亖阳交泰 三阳交泰
亖阳开泰 三阳开泰
亖陪 三陪
亖顾茅庐 三顾茅庐
亘占不变 亘古不变
亘占亘今 亘古亘今
亘占如斯 亘古如斯
亘占未有 亘古未有
亘占未见 亘古未见
亘占未贝 亘古未见
亘占未闻 亘古未闻
亘古不変 亘古不变
亘古丕变 亘古不变
亘古木变 亘古不变
亘古未冇 亘古未有
亘多医疗费用 更多医疗费用
亚列士多德 亚里士多德
亚拉伯人 阿拉伯人
亚洲金融风波 亚洲金融风暴
亚然失色 哑然失色
亚然而笑 哑然而笑
亚狠狠 恶狠狠
亚玛逊河 亚马孙河
亚理斯多德 亚里士多德
亚粉纸 哑粉纸
亚肩迭背 亚肩叠背
亚里仕多德 亚里士多德
亚里土多德 亚里士多德
亚里桑那 亚利桑那
亚铃 哑铃
亚马逊河 亚马孙河
些日会 生日会
些须 些许
亟需建立 亟须建立
亟需解决 亟须解决
亡乱逃命 忙乱逃命
亡命兲涯 亡命天涯
亡囯之器 亡国之器
亡囯之音 亡国之音
亡囯灭种 亡国灭种
亡囯破家 亡国破家
亡灭 灭亡
亡茬旦夕 亡在旦夕
亢尤有悔 亢龙有悔
亢长枯燥 冗长枯燥
亢龙冇悔 亢龙有悔
亣义凛然 大义凛然
亣义灭亲 大义灭亲
亣书特书 大书特书
亣事化小 大事化小
亣亣咧咧 大大咧咧
亣仁亣义 大仁大义
亣俗亣雅 大俗大雅
亣做文章 大做文章
亣光其火 大光其火
亣公无私 大公无私
亣公至正 大公至正
亣兴土木 大兴土木
亣军压境 大军压境
亣刀阔斧 大刀阔斧
亣功亣德 大功大德
亣功告成 大功告成
亣功垂成 大功垂成
亣动干戈 大动干戈
亣势已去 大势已去
亣势所趋 大势所趋
亣勇若怯 大勇若怯
亣包亣揽 大包大揽
亣匠运斤 大匠运斤
亣千世界 大千世界
亣发慈悲 大发慈悲
亣发横财 大发横财
亣发雷霆 大发雷霆
亣可不必 大可不必
亣吃一惊 大吃一惊
亣吃亣喝 大吃大喝
亣吆小喝 大吆小喝
亣吉亣利 大吉大利
亣同小异 大同小异
亣名难居 大名难居
亣名鼎鼎 大名鼎鼎
亣吵亣闹 大吵大闹
亣吹亣擂 大吹大擂
亣呼小叫 大呼小叫
亣喜过望 大喜过望
